sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
8,"4,25","4,06137","1,602959","3,560798","1,596881","2,345692","2,591262","0,974327","1,040431","1,291789","1,668591","2,369329","1,589509","1,055206","0,770057","0,814756","7,261876","5,666286","3,88431","2,550197","2,098374","7,001667","1,887818","2,49102","1,331929","0,727684"
8,"4,375","4,806833","1,788668","3,603769","1,646698","2,603786","2,901948","1,182315","1,22664","1,637466","1,759269","3,451361","2,266507","1,10168","0,904741","0,958337","6,563209","6,123776","3,850599","3,795765","2,760125","7,755127","2,650869","2,550472","1,391218","0,86779"
8,"4,5","5,889566","2,256104","3,306668","1,809783","3,021025","3,377024","1,51002","1,481072","2,133933","2,186026","5,040569","3,332717","1,226895","1,108598","1,228964","6,049221","6,45899","3,790724","6,006691","3,859089","8,434223","3,751885","2,591888","1,550364","1,041687"
8,"4,625","7,618568","3,138956","2,815012","2,037889","3,603068","3,967413","1,855421","1,746537","2,735213","3,034614","6,88926","4,507418","1,400652","1,366296","1,593038","5,760332","6,630887","3,837867","8,99112","5,226866","9,196369","5,057227","2,655802","1,775674","1,233762"
8,"4,75","9,420383","4,44554","2,314455","2,257458","4,308192","4,5303","2,125964","1,94309","3,337836","4,238435","8,515595","5,466941","1,623037","1,640603","1,978557","5,588919","6,582769","4,05582","12,13131","6,534525","9,874212","6,349603","2,717661","1,984687","1,422464"
8,"4,875","11,304105","5,960597","1,932971","2,402349","5,057762","4,85805","2,254043","2,009596","3,810555","5,565492","9,386115","5,958557","1,904048","1,898979","2,291508","5,355612","6,233533","4,391125","14,610054","7,440614","10,545086","7,351804","2,712452","2,082135","1,590165"
8,5,"12,314362","7,306073","1,691978","2,439261","5,737549","4,842839","2,219644","1,939034","4,050231","6,692709","9,188887","5,864151","2,233801","2,111532","2,446772","4,975417","5,560196","4,677919","15,762095","7,757317","10,753681","7,811759","2,569164","2,011708","1,731112"
8,"5,125","12,520187","8,063909","1,543449","2,373231","6,22934","4,340658","2,055688","1,768292","4,048378","7,336065","7,833237","5,247307","2,592723","2,265934","2,401051","4,420821","4,664926","4,742137","15,403255","7,568384","10,404189","7,587168","2,284631","1,790963","1,843898"
8,"5,25","11,527439","7,964107","1,435847","2,246033","6,449687","3,677396","1,835659","1,567778","3,898109","7,383078","5,888782","4,320584","2,932038","2,348736","2,17069","3,989479","3,734161","4,512121","13,960923","7,174879","9,335049","6,700562","1,950853","1,532803","1,933288"
8,"5,375","9,990131","7,078722","1,361913","2,11382","6,368546","2,966669","1,645149","1,396341","3,721967","6,944713","3,846593","3,369561","3,188513","2,339379","1,82862","3,71677","2,947128","4,074232","12,233981","6,89888","7,847009","5,376265","1,687306","1,386181","2,012015"
8,"5,5","8,15673","5,722451","1,370453","2,02812","6,013887","2,549395","1,535937","1,282675","3,594125","6,301911","2,291077","2,667022","3,303975","2,220034","1,476347","3,64558","2,461926","3,612734","10,955276","6,898399","6,2461","3,930548","1,606971","1,456293","2,095938"
8,"5,625","6,56465","4,323968","1,511644","1,993943","5,464215","2,371482","1,503305","1,218652","3,504325","5,776042","1,353398","2,372086","3,260447","1,984698","1,201721","3,596938","2,327848","3,196462","10,482514","7,134236","4,966194","2,680404","1,747793","1,734349","2,193359"
8,"5,75","5,383955","3,202702","1,801943","1,980095","4,828525","2,364478","1,496527","1,164449","3,381562","5,592084","1,005698","2,496898","3,079669","1,657648","1,045318","3,477293","2,460388","2,811298","10,779837","7,490213","4,190419","1,801915","2,090817","2,101985","2,295986"
8,"5,875","4,606309","2,458858","2,188288","1,95582","4,216119","2,364999","1,458262","1,075969","3,147785","5,790153","1,087584","2,891432","2,810181","1,302925","0,992984","3,254081","2,721155","2,414806","11,505147","7,843887","3,948651","1,289263","2,546695","2,406863","2,380299"
8,6,"4,104976","2,003572","2,554067","1,920839","3,713433","2,299961","1,358847","0,953915","2,782816","6,233351","1,496146","3,315173","2,49048","1,004333","0,996772","3,00919","2,954152","2,024768","12,259212","8,145186","4,034588","1,012908","2,953915","2,529367","2,418076"
8,"6,125","3,597775","1,645833","2,762897","1,887677","3,365442","2,090684","1,195066","0,818203","2,340967","6,700344","2,186059","3,524141","2,14224","0,82679","0,998979","2,755807","3,062788","1,702141","12,796239","8,37935","4,164162","0,826822","3,162062","2,435197","2,381586"
8,"6,25","3,142406","1,301793","2,717492","1,856903","3,163929","1,861827","1,005417","0,69094","1,921468","7,011012","3,051857","3,402761","1,784669","0,790469","0,957326","2,694713","3,039673","1,577411","12,978423","8,457164","4,134367","0,681678","3,076057","2,164172","2,255205"
8,"6,375","2,867176","1,094991","2,457852","1,810406","3,04823","1,602152","0,84189","0,59603","1,629498","7,081117","3,917337","2,991564","1,471318","0,865169","0,86967","2,62512","2,932764","1,820983","12,7644","8,269084","4,033899","0,633494","2,696613","1,812314","2,049895"
8,"6,5","5,587574","1,369938","2,156615","1,759941","2,939488","1,463032","0,785988","0,584486","1,526619","6,897996","4,526417","2,484126","1,298926","0,979475","0,785973","2,607785","2,837312","2,564761","12,182008","7,74578","5,80786","0,90954","2,130111","1,502505","1,808891"
8,"6,625","14,948099","2,359103","2,023451","1,752614","2,789845","1,515859","0,908965","0,712734","1,578825","6,493666","4,718137","2,171362","1,343807","1,065964","0,784045","2,453683","2,826993","3,733163","11,26857","6,913377","12,422142","1,703461","1,537464","1,327181","1,591551"
8,"6,75","33,892963","3,998978","2,161272","1,819877","2,590433","1,922527","1,231647","1,009759","1,718082","5,918923","4,442204","2,308203","1,623365","1,100168","0,915301","2,351112","2,915996","5,012984","10,078401","5,900934","25,361561","3,001056","1,072517","1,306669","1,441521"
8,"6,875","59,730339","5,956414","2,521447","1,933747","2,354244","2,525917","1,699148","1,465558","1,935754","5,235058","3,867004","3,027869","2,041013","1,10648","1,167945","2,113412","3,031353","5,968839","8,686437","4,899122","43,175732","4,542238","0,808847","1,37794","1,364426"
8,7,"86,364441","7,924253","2,961028","2,05123","2,108046","3,234089","2,177921","1,987733","2,275388","4,495701","3,282753","4,256135","2,445837","1,138301","1,472126","1,956777","3,064468","6,309093","7,240635","4,090594","61,280586","5,98821","0,756271","1,453984","1,334707"
,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0,125","15,8904","7,658666","3,214078","1,970062","0,666525","4,234693","7,830379","2,870551","1,192265","0,611368","5,7563","13,716579","1,593352","1,550101","0,879414","6,488114","14,283879","4,518983","1,851782","1,001285","20,069883","10,574911","2,44306","1,655048","0,679531"
9,"0,25","15,855185","6,046213","3,226763","2,25031","0,720634","3,923533","8,154143","3,485538","1,373791","0,698863","6,446809","13,945559","1,755257","1,690129","0,899215","6,173177","11,720596","4,789652","1,709626","0,997928","19,594362","7,990896","2,148867","1,831375","0,657459"
9,"0,375","15,474931","4,739212","3,05742","2,392219","0,792173","3,554559","7,573092","3,797599","1,462719","0,759676","7,164289","14,227137","2,082573","1,879589","0,893645","5,599203","9,0446","4,542481","1,459704","0,938779","18,82066","5,86384","1,935929","1,88093","0,646082"
9,"0,5","14,51228","4,098644","2,768982","2,362321","0,853321","3,134415","6,260007","3,671031","1,442985","0,779227","7,776725","14,38691","2,611798","2,099456","0,875764","4,990152","6,853294","3,878231","1,171329","0,852098","17,455671","4,671776","1,808891","1,792052","0,641967"
9,"0,625","13,084502","4,200427","2,469451","2,208085","0,884242","2,72691","4,632845","3,130403","1,334771","0,760115","8,280337","14,219757","3,26034","2,316806","0,860115","4,618113","5,473325","3,041776","0,924769","0,773718","15,670619","4,472543","1,746226","1,601214","0,645854"
9,"0,75","11,632723","4,754371","2,262734","2,021904","0,885655","2,3669","3,130044","2,345296","1,187325","0,718294","8,777836","13,560177","3,84445","2,477375","0,855588","4,688541","4,89989","2,307353","0,778653","0,732875","14,048017","4,840125","1,700864","1,371883","0,665478"
9,"0,875","10,543162","5,359418","2,190662","1,876706","0,872418","2,066801","2,053007","1,553414","1,053344","0,672339","9,266172","12,35649","4,192146","2,537797","0,866686","5,057145","4,837475","1,863943","0,764922","0,740998","12,819391","5,242811","1,629894","1,163309","0,705052"
9,1,"10,248199","5,715938","2,199483","1,790336","0,860226","1,841747","1,442366","0,938881","0,969965","0,636201","9,626007","10,679739","4,211972","2,485894","0,89873","5,433998","4,897046","1,758388","0,880765","0,788343","12,436834","5,352937","1,501909","1,020579","0,75689"
9,"1,125","10,61165","5,68622","2,23995","1,738604","0,85792","1,669378","1,141834","0,583895","0,945371","0,617288","9,631179","8,679198","3,922558","2,338212","0,952567","5,528621","4,773548","1,894652","1,084111","0,851016","12,478872","5,096785","1,379826","0,973732","0,805626"
9,"1,25","11,255993","5,301517","2,229958","1,678561","0,863527","1,525136","0,96553","0,456465","0,969456","0,61509","9,035395","6,558384","3,402943","2,116877","1,017183","5,189186","4,350793","2,120192","1,313344","0,901693","12,694185","4,567105","1,30536","1,022346","0,835973"
9,"1,375","11,455279","4,708223","2,145024","1,59024","0,867279","1,362565","0,834052","0,463176","1,020478","0,623596","7,74157","4,560267","2,775193","1,852964","1,071187","4,410428","3,671219","2,301959","1,500264","0,917632","12,323358","3,937867","1,322506","1,147502","0,8392"
9,"1,5","10,780447","4,062945","2,019681","1,496054","0,859445","1,200241","0,791353","0,517338","1,070831","0,635154","5,984845","2,937016","2,193621","1,586193","1,088934","3,424957","2,858526","2,332766","1,587427","0,889035","11,216885","3,358429","1,411788","1,318668","0,817587"
9,"1,625","9,20216","3,483183","1,878874","1,443927","0,83729","1,086272","0,888695","0,580934","1,096748","0,645913","4,178031","1,831637","1,767204","1,346324","1,051556","2,487806","2,114126","2,189286","1,555685","0,825639","9,445996","2,919486","1,501905","1,505553","0,784518"
9,"1,75","7,086443","2,999966","1,747458","1,466133","0,805112","1,089792","1,124346","0,659059","1,082383","0,652026","2,721582","1,245653","1,541532","1,14206","0,956115","1,858319","1,653404","1,935262","1,431228","0,749341","7,489237","2,667058","1,551504","1,68292","0,755228"
9,"1,875","4,972843","2,572109","1,677935","1,552399","0,769257","1,233186","1,434305","0,785514","1,024199","0,652099","1,842722","1,056709","1,507757","0,971999","0,817104","1,615647","1,555262","1,684329","1,267081","0,681258","5,763872","2,553496","1,558845","1,828781","0,737389"
9,2,"3,327497","2,169677","1,687948","1,656631","0,732178","1,481176","1,721846","1,009128","0,93457","0,647368","1,524822","1,09316","1,621177","0,844724","0,66274","1,667083","1,741464","1,522229","1,117648","0,632374","4,513749","2,50597","1,527328","1,923441","0,726937"
9,"2,125","2,297834","1,801648","1,740412","1,720081","0,692704","1,766476","1,898956","1,361558","0,842234","0,639804","1,59173","1,208643","1,792533","0,767985","0,52381","1,839016","2,034856","1,456615","1,00796","0,599353","3,680246","2,455623","1,460726","1,950377","0,715096"
9,"2,25","1,778826","1,517987","1,757667","1,698983","0,648517","1,994529","1,923523","1,816529","0,771634","0,631245","1,851678","1,319051","1,9243","0,727548","0,423053","2,005459","2,238158","1,428959","0,933652","0,569886","3,116919","2,386822","1,355461","1,901991","0,695089"
9,"2,375","2,094762","1,450047","1,754042","1,586425","0,599107","2,118405","1,802899","2,275549","0,731224","0,624772","2,277883","1,420444","1,979004","0,700352","0,367849","2,154584","2,258965","1,410997","0,877383","0,533671","3,180789","2,374905","1,2646","1,788557","0,666204"
9,"2,5","5,370636","1,963164","1,889072","1,409688","0,557445","2,169848","1,608588","2,605621","0,714065","0,624301","3,00427","1,561386","2,01304","0,666593","0,355113","2,424566","2,1435","1,467628","0,842781","0,492544","5,715954","2,723315","1,316575","1,639217","0,639769"
9,"2,625","14,677909","3,449924","2,323508","1,218024","0,542235","2,227983","1,438045","2,698368","0,706822","0,634991","4,093699","1,78501","2,109568","0,629433","0,38081","2,930866","2,038357","1,726878","0,863968","0,459989","13,43078","3,790033","1,616143","1,495075","0,630465"
9,"2,75","30,412033","6,071944","3,056148","1,055039","0,562403","2,334897","1,372095","2,515479","0,703348","0,666601","5,410362","2,121808","2,325666","0,610714","0,443569","3,644945","2,134084","2,285008","0,975539","0,455677","26,412445","5,728685","2,143855","1,38488","0,643021"
9,"2,875","51,031219","9,533581","3,975301","0,935074","0,614134","2,49437","1,433166","2,114562","0,710884","0,733845","6,657772","2,504854","2,624318","0,628331","0,541469","4,413956","2,541372","3,074105","1,173645","0,497397","43,523399","8,290435","2,809476","1,304614","0,670287"
9,3,"70,463242","13,089731","4,861758","0,848165","0,684497","2,59106","1,57687","1,617542","0,746557","0,844298","7,592369","2,915687","2,902147","0,687151","0,663622","5,082381","3,231095","3,882809","1,410002","0,589375","59,383427","10,90643","3,459266","1,227531","0,69877"
9,"3,125","82,863976","15,815431","5,432413","0,778859","0,75949","2,523775","1,727963","1,150896","0,814141","0,98837","8,099847","3,484879","3,057775","0,778807","0,790818","5,521264","4,059074","4,453003","1,620011","0,7162","69,352364","12,936181","3,915384","1,132168","0,71746"
9,"3,25","83,690559","17,07733","5,562739","0,727887","0,831862","2,302524","1,87716","0,806417","0,906958","1,150099","8,141519","4,371861","3,08108","0,892424","0,902511","5,701964","4,802244","4,590878","1,760349","0,850143","69,63929","13,990274","4,122303","1,027449","0,730767"
9,"3,375","72,622643","16,817787","5,279537","0,723318","0,898865","1,991268","2,072122","0,632424","1,025589","1,314885","7,827373","5,640331","3,070479","1,022944","0,981126","5,638451","5,242682","4,235322","1,824628","0,962145","60,075783","14,083455","4,120969","0,960474","0,758229"
9,"3,5","53,856586","15,492525","4,712438","0,794078","0,95317","1,724525","2,360124","0,632557","1,18142","1,472285","7,318798","7,113092","3,163958","1,176013","1,015958","5,399415","5,294517","3,480524","1,828509","1,033656","44,243088","13,572503","3,998663","0,974882","0,814706"
9,"3,625","33,552769","13,744488","4,071024","0,946472","0,981068","1,639375","2,716633","0,776456","1,380785","1,620697","6,839299","8,407635","3,473564","1,371244","1,006591","5,090379","5,003898","2,559803","1,814351","1,065178","27,420507","12,806315","3,849597","1,076091","0,892856"
9,"3,75","17,265141","12,062323","3,515735","1,156015","0,967075","1,751277","3,060102","1,015762","1,614683","1,763356","6,518915","9,163433","3,991668","1,627951","0,962175","4,76446","4,500075","1,734851","1,823241","1,073547","14,382024","11,907853","3,681789","1,226251","0,965052"
9,"3,875","7,555809","10,584954","3,07375","1,363665","0,901893","1,970645","3,284146","1,30109","1,858972","1,896738","6,366794","9,150751","4,533897","1,935203","0,896138","4,467523","3,921479","1,202837","1,869889","1,076827","7,105621","10,772146","3,424758","1,35577","0,997197"
9,4,"3,714901","9,162512","2,687862","1,49912","0,790013","2,143651","3,317516","1,580753","2,078727","2,0001","6,285519","8,411673","4,881971","2,239923","0,821527","4,22061","3,372829","1,027499","1,928723","1,082409","4,675579","9,241752","3,008323","1,395611","0,964222"
9,"4,125","3,015477","7,626697","2,322198","1,521257","0,652878","2,177619","3,167258","1,821184","2,235866","2,048668","6,118979","7,312273","4,956986","2,455405","0,748394","4,035495","2,920596","1,146899","1,952362","1,086932","4,56377","7,338902","2,462235","1,323091","0,866132"
9,"4,25","2,929586","6,039083","1,990846","1,439959","0,527596","2,027907","2,899439","1,986416","2,300091","2,034304","5,722763","6,251286","4,8121","2,497526","0,687252","3,858545","2,590768","1,457174","1,894378","1,082546","4,44877","5,355166","1,896402","1,175121","0,735434"
9,"4,375","2,816243","4,794473","1,742526","1,306518","0,45184","1,75981","2,603768","2,039772","2,268564","1,972196","5,082499","5,488137","4,565259","2,333132","0,64735","3,689181","2,391616","1,827324","1,735396","1,063305","3,899793","3,810416","1,460461","1,020191","0,623964"
9,"4,5","2,809897","4,108093","1,567349","1,180694","0,443187","1,48309","2,335814","1,990708","2,176677","1,886688","4,282667","5,036602","4,312784","1,99517","0,632715","3,493716","2,275274","2,127802","1,496154","1,028765","3,221309","2,956625","1,220672","0,931045","0,571651"
9,"4,625","2,814592","3,967535","1,473937","1,102404","0,49192","1,250937","2,122069","1,882939","2,079805","1,799043","3,431937","4,694076","4,076944","1,571866","0,641849","3,168173","2,165288","2,273804","1,224287","0,983262","2,511282","2,746395","1,205369","0,953043","0,584145"
9,"4,75","2,845457","4,181372","1,45526","1,082126","0,56948","1,10964","1,970325","1,749821","2,019047","1,717356","2,692796","4,260828","3,822637","1,173249","0,670646","2,683988","2,026678","2,242467","0,965929","0,932293","1,929633","2,948145","1,367732","1,083625","0,636158"
9,"4,875","2,991648","4,442676","1,478172","1,101395","0,644618","1,131968","1,855804","1,604252","2,005308","1,635645","2,225841","3,712823","3,448441","0,889186","0,713839","2,116682","1,855698","2,063423","0,75518","0,881073","1,676999","3,264022","1,595219","1,276221","0,691346"
9,5,"3,16399","4,490741","1,511487","1,129138","0,69822","1,341874","1,750798","1,453872","2,012468","1,54031","2,149351","3,215503","2,91418","0,7606","0,765405","1,607089","1,695594","1,806211","0,607977","0,833296","1,680145","3,495919","1,785021","1,460459","0,726469"
9,"5,125","3,357006","4,226947","1,540241","1,138751","0,726129","1,697197","1,638235","1,302735","1,996691","1,425108","2,628826","3,039947","2,344489","0,794632","0,81763","1,324613","1,653416","1,568924","0,524384","0,791636","1,938888","3,562913","1,871464","1,563265","0,742286"
9,"5,25","3,418832","3,679327","1,537949","1,127594","0,737341","2,060027","1,526204","1,162456","1,928069","1,296727","3,874799","3,444829","2,00921","0,978194","0,85979","1,402612","1,900601","1,453248","0,491124","0,756549","2,349694","3,422966","1,8252","1,547155","0,754162"
9,"5,375","3,507111","2,977244","1,479986","1,112658","0,748993","2,346629","1,447666","1,052367","1,795512","1,171753","6,111684","4,584964","2,15053","1,292179","0,880803","1,940814","2,744477","1,533176","0,514271","0,724825","3,254233","3,128763","1,681193","1,425295","0,777892"
9,"5,5","3,876842","2,386198","1,382022","1,11173","0,774767","2,513519","1,430355","1,01262","1,610588","1,073757","9,175048","6,755179","2,854211","1,730096","0,872366","2,866203","4,53698","1,815664","0,634866","0,691003","4,977739","2,92467","1,557417","1,253431","0,819217"
9,"5,625","4,726355","2,21084","1,295155","1,132484","0,814888","2,681298","1,458206","1,08108","1,419833","1,026323","12,39438","10,300307","4,355878","2,269383","0,839754","3,965315","7,462148","2,31925","0,884254","0,651766","7,570139","3,140441","1,614981","1,097107","0,871269"
9,"5,75","6,179932","2,666482","1,331161","1,166415","0,857708","3,206918","1,516158","1,290737","1,316742","1,04706","14,734193","15,109952","7,151276","2,878972","0,806027","4,968629","11,274976","3,206975","1,264311","0,611406","10,886667","4,085391","2,018429","1,007638","0,927399"
9,"5,875","8,070576","3,769928","1,654224","1,207468","0,886893","4,429575","1,674987","1,666372","1,390153","1,147435","15,370301","20,542854","11,809166","3,493433","0,800661","5,72925","15,310397","4,75084","1,747133","0,589869","14,49128","5,941434","2,882712","1,024406","0,991489"
9,6,"10,022076","5,385397","2,398745","1,259596","0,888468","6,412344","2,046678","2,201835","1,665745","1,329937","13,974848","25,549746","18,470842","4,016685","0,839581","6,181971","18,704531","7,105174","2,269337","0,614581","17,7075","8,670885","4,209645","1,15366","1,076281"
9,"6,125","11,499058","7,214896","3,585672","1,329098","0,855698","8,807601","2,714136","2,859538","2,077426","1,571587","10,987585","29,164513","26,516638","4,388108","0,910422","6,342501","20,711952","10,111728","2,740713","0,69772","19,778645","11,928302","5,862727","1,366564","1,188238"
9,"6,25","12,109074","8,833414","5,00209","1,416981","0,791303","10,92958","3,620767","3,541258","2,49995","1,811065","7,398564","30,93651","34,40345","4,544998","0,97508","6,268932","20,997585","13,222934","3,064071","0,818714","20,197273","15,011522","7,488786","1,60566","1,311176"
9,"6,375","11,978656","9,893527","6,274258","1,507558","0,707181","12,062342","4,560486","4,110906","2,79014","1,967018","4,330996","31,220778","40,102337","4,44112","0,992914","6,018682","19,679951","15,587553","3,178175","0,931138","19,051077","17,164116","8,623802","1,794134","1,404222"
9,"6,5","10,968993","10,204595","6,995094","1,566237","0,620731","11,789362","5,240549","4,425687","2,845755","1,974877","2,548165","30,835251","41,85965","4,098514","0,94226","5,655736","17,198044","16,337585","3,068057","0,981504","16,558289","17,848019","8,889661","1,873359","1,421541"
9,"6,625","9,75426","9,750569","6,912275","1,566029","0,550479","10,228345","5,412906","4,401301","2,656836","1,820098","2,176872","30,676876","38,98362","3,589166","0,834979","5,198689","14,276318","15,128869","2,770785","0,940361","13,807734","16,913334","8,187045","1,833986","1,3414"
9,"6,75","8,439122","8,677624","6,049953","1,515514","0,510331","7,900088","5,015394","4,036645","2,297881","1,541914","2,816735","31,42243","32,436253","3,015349","0,704957","4,608371","11,77632","12,403474","2,36519","0,814546","10,950541","14,661634","6,737101","1,71834","1,180564"
9,"6,875","7,163858","7,562237","4,750431","1,448069","0,508334","5,629697","4,200587","3,426393","1,878829","1,212092","3,828953","33,070385","24,335442","2,489354","0,590494","3,927291","10,303791","9,064359","1,93442","0,642497","8,586612","12,000777","5,045617","1,608275","0,987412"
9,7,"6,039465","7,086654","3,404365","1,412072","0,548685","4,065252","3,277844","2,729435","1,510372","0,909385","4,709768","34,983913","16,816624","2,09837","0,516244","3,227585","10,033829","6,064368","1,546207","0,479015","6,715854","9,974463","3,524255","1,579404","0,821061"
,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"0,125","5,367083","16,58856","0,765909","2,059835","0,307632","1,714391","3,340972","0,811747","0,291385","0,613752","7,62658","70,252449","6,122119","2,653569","0,296271","1,98822","6,557334","2,650029","2,294206","0,357126","5,190377","20,228167","0,940724","2,403909","0,277473"
10,"0,25","4,958311","14,086386","0,716263","2,030391","0,360854","1,671443","3,768745","0,947809","0,28431","0,596685","9,025588","77,316681","7,630989","3,012392","0,326133","2,166797","7,669525","2,295384","2,308529","0,366563","5,354825","17,065487","0,846866","2,343068","0,342934"
10,"0,375","4,272009","11,68897","0,729204","1,871268","0,427081","1,6111","4,057199","0,976837","0,314185","0,599503","10,786522","78,31041","8,640692","3,357003","0,376862","2,229974","8,507918","1,9473","2,178604","0,370012","5,056047","14,058418","0,916664","2,121228","0,426358"
10,"0,5","3,398127","10,102819","0,853466","1,6013","0,490165","1,459766","4,137005","0,893508","0,384283","0,616567","12,239627","72,19838","9,037668","3,5488","0,448253","2,135854","8,763981","1,762455","1,912009","0,377874","4,308134","11,87907","1,167152","1,787698","0,510816"
10,"0,625","2,511984","10,348665","1,044283","1,276936","0,533742","1,280784","3,975402","0,735774","0,491876","0,638636","13,010613","60,720394","8,99767","3,523075","0,531661","1,901586","8,330394","1,785838","1,553665","0,395771","3,286841","11,754329","1,480493","1,42872","0,576481"
10,"0,75","1,854852","13,115857","1,216842","0,972129","0,548173","1,170743","3,608152","0,558364","0,619419","0,657747","13,029061","47,227314","8,629283","3,272997","0,607572","1,646828","7,382328","1,941659","1,176376","0,420206","2,358283","14,677351","1,728549","1,132029","0,610746"
10,"0,875","1,530331","18,045048","1,290472","0,74899","0,533449","1,236871","3,141296","0,419326","0,736635","0,668343","12,492482","35,12365","8,059015","2,867721","0,655282","1,448528","6,270634","2,061979","0,855144","0,440058","1,752827","20,442068","1,837499","0,952517","0,610987"
10,1,"1,726206","23,800491","1,246026","0,633112","0,50018","1,474275","2,72336","0,373395","0,811141","0,666318","11,598897","26,58647","7,409807","2,416252","0,660133","1,43996","5,418075","1,998699","0,635014","0,443104","1,703364","27,646452","1,798965","0,891358","0,58481"
10,"1,125","2,50322","28,771883","1,152701","0,60463","0,46286","1,776856","2,512338","0,429162","0,830362","0,648244","10,479776","22,116848","6,591411","2,006283","0,61787","1,749622","5,119059","1,720978","0,519883","0,422979","2,307774","34,408394","1,668207","0,900738","0,54411"
10,"1,25","3,927174","31,6362","1,106463","0,623614","0,433862","2,011573","2,602429","0,555117","0,807812","0,613484","9,345876","21,051813","5,55711","1,698167","0,54055","2,436433","5,413878","1,311094","0,482134","0,384861","3,653003","39,003834","1,527424","0,924242","0,500105"
10,"1,375","5,878629","31,845716","1,153913","0,661146","0,420515","2,091893","2,965474","0,706818","0,780544","0,568507","8,31234","22,169477","4,404222","1,497608","0,451357","3,371442","6,118428","0,93105","0,488263","0,343622","5,461067","40,494671","1,436878","0,924797","0,460062"
10,"1,5","7,755378","29,618391","1,298394","0,702074","0,423946","1,98843","3,468435","0,860494","0,788903","0,527456","7,308049","24,233412","3,36159","1,383358","0,373648","4,344905","6,943446","0,736804","0,513185","0,316191","7,254693","38,81636","1,469343","0,890467","0,427189"
10,"1,625","9,233371","25,749767","1,508098","0,737094","0,441459","1,798822","3,915851","1,005872","0,851388","0,508447","6,306194","25,953993","2,55727","1,327431","0,321726","5,091703","7,645167","0,778442","0,54469","0,315514","8,588762","34,646297","1,632034","0,828831","0,40257"
10,"1,75","9,522571","21,200607","1,712986","0,753652","0,468159","1,565672","4,117575","1,135253","0,960471","0,526307","5,345286","26,381809","1,981851","1,295923","0,29819","5,406351","8,047883","0,998173","0,574771","0,345911","8,907906","29,055759","1,859237","0,763415","0,387121"
10,"1,875","8,901577","16,724577","1,836014","0,73779","0,498089","1,376466","3,973806","1,245077","1,100966","0,585654","4,489128","25,138052","1,610992","1,243488","0,295553","5,219868","8,047477","1,307219","0,599061","0,402038","8,317415","23,097862","2,059816","0,727521","0,383479"
10,2,"7,307683","12,698283","1,825979","0,68326","0,523245","1,196355","3,530225","1,33668","1,264365","0,682746","3,763747","22,261089","1,40624","1,14067","0,30255","4,615489","7,585705","1,60717","0,618404","0,471732","6,824302","17,522678","2,158751","0,750592","0,393276"
10,"2,125","5,425174","9,236556","1,656153","0,594269","0,534896","1,069188","2,938149","1,390605","1,450992","0,808814","3,188804","18,193539","1,28873","0,983484","0,310475","3,83148","6,705308","1,817232","0,639777","0,539419","5,000911","12,766924","2,095205","0,83751","0,413758"
10,"2,25","3,590996","6,400281","1,366521","0,489791","0,526948","1,034933","2,387737","1,391092","1,655865","0,946633","2,691395","13,688029","1,169634","0,791919","0,314682","3,133988","5,552787","1,884334","0,671443","0,59204","3,216068","9,065266","1,843803","0,961948","0,437373"
10,"2,375","2,340001","4,33214","1,060095","0,397287","0,498956","1,192676","2,014184","1,34305","1,85978","1,074942","2,249519","9,549519","1,01003","0,607676","0,312218","2,734338","4,331378","1,807709","0,713101","0,6226","1,978514","6,593185","1,493558","1,074424","0,454393"
10,"2,5","1,892741","3,082114","0,841109","0,348714","0,458613","1,628083","1,85788","1,277474","2,032152","1,169388","1,935177","6,363817","0,854179","0,479796","0,302095","2,701115","3,287715","1,658136","0,769616","0,632183","1,534454","5,296113","1,18795","1,130546","0,458113"
10,"2,625","2,216188","2,467181","0,779367","0,370371","0,418155","2,309979","1,849751","1,229102","2,137211","1,211874","1,819286","4,331514","0,795193","0,44001","0,286013","2,974051","2,650358","1,508216","0,849462","0,627521","1,957265","4,758973","1,022722","1,114208","0,446611"
10,"2,75","3,171466","2,165658","0,892803","0,468754","0,391585","3,103442","1,873665","1,227694","2,150361","1,204751","1,864901","3,372251","0,905975","0,488243","0,268603","3,420451","2,580412","1,400848","0,952391","0,61753","3,029869","4,467081","1,022212","1,048189","0,426936"
10,"2,875","4,447295","1,928727","1,125651","0,626172","0,392825","3,808008","1,858104","1,281846","2,080329","1,173484","1,989576","3,399627","1,166467","0,598475","0,255723","3,993922","3,086639","1,34128","1,069722","0,613624","4,456425","4,093041","1,142691","0,978609","0,41456"
