sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1,"2,75","9,363889","15,787038","3,666492","1,169626","0,473393","1,242943","1,771647","0,45439","0,265173","0,282132","7,0494","12,972713","2,763281","0,84155","0,519598","4,385072","6,129965","2,311734","0,889015","0,692763","11,497293","20,435703","3,17845","1,189455","0,593807"
1,"2,875","12,28139","14,83432","4,524796","1,333203","0,481135","0,992879","1,413348","0,431632","0,29914","0,259492","8,002172","11,633734","2,664305","0,991292","0,509705","3,818913","4,144675","2,206924","0,836928","0,653727","13,097871","18,028519","3,69195","1,195523","0,5658"
1,3,"15,431044","14,468613","5,103168","1,456828","0,472718","0,893681","1,142263","0,478691","0,362702","0,261522","8,932431","10,398451","2,422868","1,090272","0,468947","3,493641","2,968716","2,118792","0,817347","0,618944","14,60647","16,320892","3,995586","1,188593","0,545507"
1,"3,125","17,685638","14,006451","5,205585","1,532294","0,449248","0,939256","0,963322","0,553067","0,436497","0,282858","9,410517","8,962466","2,128367","1,1152","0,406476","3,241121","2,36971","2,075338","0,829225","0,584476","15,27243","14,842831","3,960389","1,180655","0,531916"
1,"3,25","18,377647","12,731832","4,759463","1,553429","0,418301","1,094286","0,871398","0,626436","0,502584","0,311992","9,157909","7,490227","1,831687","1,072616","0,339087","2,956463","2,189745","2,099261","0,851406","0,553708","14,585827","12,940557","3,56413","1,165845","0,518595"
1,"3,375","17,148069","10,461157","3,902953","1,520439","0,389905","1,317505","0,840284","0,685778","0,553346","0,337802","8,200747","6,34818","1,619016","0,989285","0,285352","2,68802","2,39731","2,242074","0,860578","0,535682","12,599398","10,358233","2,9358","1,13108","0,500071"
1,"3,5","14,844015","7,468817","2,913042","1,443535","0,372467","1,575342","0,841751","0,730532","0,592314","0,355264","6,948893","5,903607","1,65258","0,891782","0,25933","2,568646","2,981928","2,554338","0,839761","0,536774","9,937887","7,313029","2,272694","1,073462","0,476083"
1,"3,625","14,329646","4,607738","2,061664","1,334012","0,370859","1,840866","0,843848","0,762937","0,627923","0,367378","5,839565","6,183756","2,022892","0,801807","0,267709","2,647184","3,864614","3,06061","0,784639","0,558182","8,443027","4,519118","1,752024","1,000997","0,450978"
1,"3,75","18,965","2,927102","1,603861","1,232161","0,391259","2,071066","0,813792","0,796781","0,67034","0,394181","5,128165","6,893332","2,634116","0,729198","0,312978","2,961974","5,05698","3,745258","0,703512","0,602502","10,158819","2,845472","1,540845","0,939105","0,436094"
1,"3,875","30,856482","3,198328","1,652798","1,203598","0,448766","2,28561","0,790053","0,85644","0,727733","0,481639","4,732415","7,63025","3,245874","0,684143","0,397476","6,629508","7,741834","4,812788","0,744684","0,739357","16,127535","2,945861","1,7032","0,935367","0,453663"
1,4,"50,026817","5,518712","2,17576","1,306564","0,563146","2,563453","0,874783","0,974848","0,807734","0,68776","4,653164","8,150168","3,638296","0,678159","0,519696","23,556293","14,749768","7,187473","1,375236","1,183349","26,325052","4,921863","2,206519","1,043975","0,531147"
1,"4,125","72,717155","9,061135","3,025651","1,547339","0,738353","2,918719","1,117481","1,181272","0,923794","1,049073","4,747434","8,455501","3,699902","0,719707","0,66612","64,676254","28,494461","11,905252","3,097456","2,172029","38,541294","8,085348","2,950501","1,288918","0,68046"
1,"4,25","90,547981","12,678278","4,016675","1,865327","0,951922","3,294839","1,510818","1,477662","1,099021","1,569592","5,002824","8,595621","3,424274","0,791319","0,809681","131,353378","48,598148","19,100775","6,037533","3,764483","48,435787","11,428876","3,785459","1,641201","0,885353"
1,"4,375","99,39724","15,590816","4,901804","2,168582","1,174847","3,648906","2,025589","1,80696","1,35505","2,215887","5,45492","8,581076","2,907052","0,865503","0,931076","212,939316","70,754189","27,419748","9,702929","5,740278","53,742603","14,151366","4,493978","2,033066","1,121049"
1,"4,5","95,643021","17,0343","5,508253","2,359881","1,388322","3,988439","2,593651","2,072131","1,68921","2,926212","6,491684","8,394032","2,311695","0,924261","1,032228","286,115784","88,363853","34,464096","13,091524","7,666707","52,878399","15,459903","4,959087","2,366695","1,374881"
1,"4,625","82,223839","16,747902","5,816846","2,384456","1,58308","4,417786","3,122715","2,173897","2,063837","3,645319","8,298273","8,023094","1,793472","0,968034","1,128392","326,683502","95,352844","37,749847","15,082652","9,058069","47,590744","15,063041","5,178245","2,551939","1,645344"
1,"4,75","63,895931","15,118005","5,922109","2,252124","1,749715","4,985464","3,557662","2,06522","2,394963","4,328001","10,786482","7,400405","1,421626","1,003901","1,227811","321,433105","89,179245","35,997849","14,9758","9,577462","40,983528","13,345674","5,25256","2,539635","1,924058"
1,"4,875","46,723614","12,751316","5,890431","2,032004","1,870909","5,686323","3,851958","1,76878","2,599125","4,928548","13,271677","6,652417","1,175566","1,036833","1,319456","272,268158","72,060059","29,614401","12,829662","9,182821","35,643024","11,007228","5,24786","2,347302","2,179855"
1,5,"34,434563","10,075767","5,731008","1,809556","1,922934","6,196527","3,963673","1,389388","2,628947","5,383751","15,021842","6,066","1,018212","1,071671","1,377352","197,470291","49,898212","20,64834","9,442226","8,118814","32,922417","8,64967","5,203727","2,04372","2,359223"
1,"5,125","32,752243","8,113528","5,492022","1,648508","1,881968","6,417921","3,896971","1,071751","2,494156","5,615573","15,34954","5,93208","0,900076","1,109115","1,371775","121,041626","29,548422","11,825127","5,962087","6,771039","34,717632","7,092834","5,168968","1,717002","2,404247"
1,"5,25","46,02861","7,411135","5,166631","1,57385","1,738804","5,956919","3,700718","0,918627","2,252851","5,557268","14,224971","6,409147","0,811273","1,144308","1,286101","62,300652","15,664043","5,380267","3,366435","5,484015","43,153255","6,552413","5,135529","1,443502","2,280219"
1,"5,375","74,780464","7,947319","4,718546","1,569961","1,50952","5,081993","3,406402","0,941339","1,988997","5,186687","12,032033","7,401869","0,793019","1,164944","1,12727","28,501698","8,998352","2,028732","2,052568","4,43255","58,56942","6,749143","5,038091","1,26697","1,996977"
1,"5,5","113,606339","9,232987","4,139009","1,597749","1,235303","3,775915","3,032029","1,057006","1,780972","4,552232","9,530814","8,477458","0,88218","1,161577","0,928279","14,186799","7,071222","0,970852","1,776005","3,622017","78,442238","7,182868","4,808922","1,193502","1,614738"
1,"5,625","152,645706","10,571956","3,465209","1,623316","0,974496","2,491619","2,583497","1,155662","1,657805","3,779513","7,358289","9,210451","1,103262","1,131982","0,735035","9,112316","6,642987","0,835859","1,961141","2,98287","97,915649","7,422602","4,408928","1,207255","1,229988"
1,"5,75","181,278458","11,376522","2,815102","1,631103","0,777249","1,408136","2,120186","1,17324","1,600352","3,035095","5,986327","9,384236","1,458267","1,080966","0,582255","6,223289","6,109673","0,796277","2,166495","2,479816","112,027657","7,394181","3,889332","1,279761","0,932848"
1,"5,875","188,313644","11,136126","2,266483","1,627352","0,660209","0,780195","1,679305","1,08889","1,573343","2,451886","5,447078","9,047128","1,886567","1,018315","0,478567","5,004413","5,38016","0,771343","2,264555","2,130315","114,473854","7,072812","3,286918","1,380405","0,763799"
1,6,"169,849075","9,745753","1,818912","1,614327","0,603349","0,551144","1,265258","0,924442","1,537572","2,080029","5,401264","8,349034","2,256051","0,948733","0,408213","4,278578","4,496878","0,74739","2,24796","1,91128","102,703873","6,444857","2,619306","1,468005","0,700114"
1,"6,125","132,436249","7,648554","1,445284","1,585953","0,577623","0,60001","0,918821","0,736377","1,467973","1,890306","5,622096","7,474338","2,436756","0,875836","0,3515","3,931106","3,574602","0,729248","2,145309","1,759259","80,450455","5,641683","1,938579","1,511823","0,689611"
1,"6,25","87,313515","5,589455","1,156144","1,530621","0,570387","0,7881","0,695153","0,587999","1,356276","1,799214","5,863608","6,637492","2,388543","0,817213","0,30325","3,438345","2,793888","0,768198","2,004059","1,625391","53,544437","4,918451","1,341529","1,503647","0,69343"
1,"6,375","46,83287","4,38826","0,972072","1,44071","0,584263","1,026568","0,621631","0,515621","1,219646","1,740902","6,152574","5,907453","2,123512","0,794895","0,275292","3,104903","2,32945","0,883267","1,865852","1,500164","29,429258","4,685236","0,934615","1,4633","0,699679"
1,"6,5","19,618902","4,634948","0,888658","1,321795","0,620173","1,269321","0,695841","0,50892","1,077919","1,705332","6,39076","5,233571","1,75081","0,818929","0,279956","2,763212","2,266008","1,103831","1,748221","1,390986","13,269565","5,421571","0,744251","1,421211","0,707494"
1,"6,625","12,330464","6,55904","0,890307","1,191515","0,66986","1,445896","0,881051","0,524336","0,943628","1,714776","6,613587","4,521941","1,370667","0,876973","0,320384","2,672986","2,529019","1,387754","1,64388","1,311853","9,678576","7,413036","0,73367","1,392369","0,717246"
1,"6,75","19,29423","9,935259","0,987201","1,074664","0,724186","1,547611","1,110163","0,517644","0,839226","1,78783","6,624881","3,764732","1,083564","0,939254","0,387112","2,693143","2,917872","1,694744","1,532809","1,268374","14,809832","10,528471","0,828238","1,365079","0,731797"
1,"6,875","32,574657","14,106206","1,268895","1,000024","0,785734","1,554107","1,319535","0,473092","0,782907","1,908779","6,402826","3,066705","0,909557","0,972658","0,461788","2,663002","3,23658","2,007632","1,406745","1,245936","23,684113","14,129972","1,007622","1,326027","0,758137"
1,7,"46,27301","17,955547","1,89525","0,996363","0,864602","1,558547","1,483381","0,414219","0,769295","2,022777","5,9245","2,583093","0,858989","0,955592","0,524332","2,582037","3,385208","2,317224","1,270505","1,214123","32,551872","17,087355","1,362666","1,269547","0,800392"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","4,38514","3,242238","3,73582","1,471854","0,385899","1,560568","3,9871","8,14919","0,787384","0,395777","9,242985","41,218487","6,083935","4,345948","0,597523","2,347407","9,226976","4,123208","1,94926","0,334075","6,13338","4,515702","3,605856","1,420645","0,375419"
2,"0,25","4,324203","2,801177","3,86297","1,369761","0,394524","1,563614","3,844531","8,234017","0,8671","0,365523","10,197488","51,425999","6,160675","4,180688","0,630297","2,501641","12,321396","3,404312","1,793373","0,329237","6,89825","4,334737","3,762598","1,230573","0,37495"
2,"0,375","4,217633","2,42827","3,704982","1,30119","0,403338","1,731242","3,836783","7,474347","0,894368","0,329139","10,999904","58,33926","6,14152","3,907183","0,649609","2,799764","15,199052","2,811376","1,544409","0,337697","7,392286","3,828625","3,631438","1,076376","0,375806"
2,"0,5","4,161592","2,323483","3,208007","1,312077","0,414251","2,034617","4,184376","6,142","0,866799","0,299462","11,574022","60,405876","6,149971","3,621983","0,649162","3,181705","17,444384","2,584485","1,30761","0,360261","7,53858","3,202621","3,19452","1,019243","0,383921"
2,"0,625","4,387425","2,544498","2,509665","1,417623","0,432139","2,404917","4,885868","4,667077","0,804531","0,286096","11,693838","57,596577","6,286106","3,363039","0,631198","3,633681","18,782217","2,98062","1,160578","0,392776","7,663725","2,655087","2,63784","1,078278","0,406932"
2,"0,75","5,102105","3,010024","1,817451","1,600177","0,459102","2,772789","5,689885","3,402563","0,736062","0,290857","11,226524","51,169353","6,518313","3,124288","0,604726","4,166607","19,107105","4,032108","1,112364","0,425756","8,063395","2,309815","2,163344","1,226334","0,4444"
2,"0,875","6,385219","3,520648","1,285714","1,825266","0,492132","3,023771","6,225327","2,484487","0,684076","0,308198","10,206118","42,936985","6,793784","2,885265","0,579819","4,703135","18,451662","5,507557","1,119096","0,448774","9,140227","2,190531","1,890811","1,406713","0,486195"
