sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"2,75","12,320225","22,252901","2,980217","0,784123","1,395288","3,364305","4,458087","1,145526","0,564655","0,705921","3,94126","20,06073","4,246956","0,676713","0,398747","6,005485","14,006813","3,316302","0,732947","0,710278","11,184403","24,936602","3,876254","0,646138","0,834628"
1,"2,875","14,89507","24,398935","3,329594","0,666652","1,331146","2,824157","4,434883","1,121935","0,634308","0,682909","4,686519","19,039387","4,971126","0,567067","0,378462","6,122302","14,592717","3,828072","0,826761","0,76788","13,049232","26,1007","3,836493","0,60606","0,793726"
1,3,"16,996073","24,658209","3,49453","0,54533","1,220071","2,276099","4,026711","1,034255","0,713937","0,659236","5,525825","16,832262","5,224989","0,4474","0,357834","6,21901","13,981099","4,005139","0,923146","0,861368","14,322793","25,211329","3,608765","0,563099","0,760207"
1,"3,125","19,538422","22,956532","3,530884","0,507748","1,090141","1,861775","3,320076","0,960331","0,809951","0,643832","6,208292","13,965087","4,936199","0,360624","0,343652","6,386854","12,308916","3,776839","1,014877","0,97729","15,886872","22,340748","3,419488","0,535626","0,749313"
1,"3,25","22,524363","19,947735","3,604571","0,6547","0,967392","1,602921","2,505231","1,020474","0,962924","0,646605","6,599202","11,077334","4,256681","0,364786","0,348167","6,533035","10,030793","3,228455","1,126785","1,090821","17,4116","18,208118","3,571737","0,556642","0,763356"
1,"3,375","25,823244","16,596874","3,877564","1,036086","0,869383","1,502097","1,802052","1,297846","1,21764","0,671321","6,635102","8,651913","3,466458","0,500561","0,384594","6,529892","7,764597","2,555579","1,301276","1,175902","18,968582","13,828559","4,268178","0,65659","0,794437"
1,"3,5","28,944492","13,723062","4,402299","1,604473","0,802575","1,522391","1,351257","1,781256","1,576622","0,710424","6,309994","6,87252","2,843461","0,760497","0,456794","6,309596","5,991184","1,970735","1,56108","1,217932","20,364258","10,082733","5,471735","0,845734","0,829684"
1,"3,625","30,629995","11,685331","5,077933","2,220674","0,764962","1,609519","1,179271","2,369416","1,96647","0,747806","5,682614","5,65471","2,537793","1,085701","0,551881","5,910652","4,893167","1,593519","1,873643","1,219458","20,984476","7,420067","6,882296","1,083908","0,857692"
1,"3,75","30,022062","10,335188","5,669432","2,704298","0,743124","1,713107","1,218509","2,907751","2,268505","0,76667","4,875147","4,836053","2,493855","1,383824","0,641084","5,449818","4,398753","1,437782","2,152717","1,194304","20,3517","5,858416","8,02403","1,303111","0,868924"
1,"3,875","27,047188","9,248822","5,992024","2,906189","0,716389","1,808321","1,328","3,253857","2,373827","0,755829","4,019949","4,272974","2,533462","1,570222","0,69195","5,029593","4,221901","1,452314","2,299931","1,159069","18,369612","5,122299","8,547155","1,439661","0,853709"
1,4,"22,317593","8,227459","6,041854","2,779095","0,671262","1,876332","1,405411","3,335073","2,236435","0,716855","3,291045","3,898458","2,505372","1,597823","0,684779","4,728754","4,103804","1,584939","2,252295","1,124431","15,366061","5,048957","8,417838","1,457256","0,808065"
1,"4,125","17,089403","7,424592","6,006222","2,40533","0,610742","1,88832","1,420881","3,155581","1,891872","0,660083","2,744044","3,681624","2,353253","1,468972","0,62301","4,483168","3,986784","1,821313","2,009796","1,089186","12,049781","5,617399","7,890573","1,361554","0,738555"
1,"4,25","13,769957","7,518974","6,068504","1,949374","0,549245","1,846729","1,400386","2,771935","1,438143","0,597378","2,419388","3,631034","2,108936","1,232839","0,531973","4,219636","4,07018","2,139468","1,629602","1,04139","9,970717","6,948731","7,285068","1,203387","0,659971"
1,"4,375","16,180714","9,119622","6,289479","1,578053","0,502164","1,767837","1,411738","2,278569","0,991934","0,536909","2,387349","3,749835","1,806313","0,965912","0,445207","3,937524","4,596423","2,483995","1,211958","0,97013","11,748363","9,026866","6,855428","1,046059","0,585722"
1,"4,5","29,475901","12,629739","6,551766","1,379586","0,476506","1,633045","1,505586","1,766451","0,645968","0,481843","2,619026","4,005262","1,473256","0,731924","0,386411","3,656123","5,618288","2,75786","0,857618","0,876307","20,356075","11,725696","6,625999","0,938221","0,524045"
1,"4,625","53,524937","17,740227","6,703079","1,332087","0,467517","1,427354","1,678882","1,301422","0,43537","0,43442","3,048466","4,425698","1,133062","0,56295","0,361472","3,43594","6,917548","2,865006","0,627104","0,769935","35,819038","14,705493","6,512684","0,89031","0,476431"
1,"4,75","85,619499","23,182615","6,554598","1,337063","0,464373","1,185261","1,861738","0,923055","0,331677","0,400022","3,614918","5,297878","0,864482","0,46286","0,361073","3,340497","8,076859","2,727309","0,519624","0,664524","56,447102","17,285444","6,289026","0,876361","0,441313"
1,"4,875","116,641808","27,278605","6,079756","1,296577","0,457043","0,985087","1,968251","0,677647","0,284461","0,384047","4,498017","7,020163","0,766884","0,429891","0,370579","3,503939","8,715687","2,371052","0,500296","0,575749","76,477295","18,732864","5,857318","0,861312","0,416233"
1,5,"137,338593","28,520136","5,275723","1,173163","0,439687","0,902744","1,920955","0,592285","0,260056","0,389037","6,014358","9,746997","0,900783","0,460422","0,380421","4,023684","8,634549","1,91137","0,528127","0,523373","90,078751","18,436981","5,146069","0,824506","0,397668"
1,"5,125","140,587646","26,348751","4,288946","0,998553","0,41212","0,930174","1,698213","0,664805","0,2505","0,413444","8,269717","13,194715","1,247192","0,548593","0,389821","4,844622","7,925424","1,509969","0,577566","0,526742","92,493721","16,344376","4,253535","0,777098","0,383184"
1,"5,25","125,482986","21,390778","3,245143","0,817782","0,379169","1,031685","1,360358","0,831984","0,254889","0,449538","10,907004","16,698383","1,751348","0,676272","0,401618","5,80609","6,893324","1,266693","0,624073","0,594284","83,131073","12,996594","3,277505","0,732012","0,371651"
1,"5,375","97,054802","15,174272","2,285077","0,672752","0,347842","1,143621","1,023042","1,005895","0,268272","0,485178","13,269959","19,518459","2,304817","0,817825","0,41585","6,667953","5,933404","1,201939","0,657966","0,714151","65,120712","9,314995","2,337703","0,696253","0,360793"
1,"5,5","64,158691","9,377902","1,527954","0,590211","0,324623","1,244501","0,798879","1,108802","0,288173","0,50942","14,574726","21,068123","2,773023","0,945045","0,428702","7,184451","5,305337","1,253319","0,682081","0,856545","44,020325","6,139529","1,553212","0,68183","0,348967"
1,"5,625","35,866879","5,217991","1,060792","0,604186","0,314489","1,362705","0,743029","1,100082","0,336738","0,521248","14,380659","21,176918","3,037997","1,052921","0,438783","7,203427","5,04587","1,325146","0,736605","0,991607","25,767092","4,010032","1,022475","0,726761","0,336949"
1,"5,75","17,641008","3,083606","0,849868","0,747986","0,320736","1,552768","0,84519","0,986371","0,456572","0,532232","12,840641","20,060066","3,041114","1,163654","0,448495","6,813375","4,995432","1,332179","0,89223","1,103451","14,067185","3,037164","0,716384","0,881429","0,328375"
1,"5,875","9,716733","2,435476","0,804163","1,034632","0,343509","1,82539","1,027863","0,818108","0,671784","0,561192","10,560955","18,104761","2,787033","1,303954","0,460036","6,133184","4,90989","1,236368","1,188541","1,189991","9,267544","2,830105","0,55667","1,172636","0,327899"
1,6,"7,745636","2,346276","0,887554","1,421171","0,376396","2,119401","1,194043","0,673707","0,965354","0,622644","8,388633","15,717162","2,390475","1,473666","0,471184","5,304715","4,624299","1,049729","1,593853","1,255578","8,419537","2,837118","0,514457","1,568791","0,337712"
1,"6,125","7,637124","2,481448","1,137361","1,808108","0,407555","2,326834","1,28203","0,625502","1,274057","0,716917","7,058926","13,256305","2,019423","1,635381","0,475494","4,463787","4,149851","0,823377","2,00489","1,305225","8,693136","2,969364","0,618116","1,97597","0,356648"
1,"6,25","10,617609","3,274329","1,575867","2,077002","0,426513","2,342345","1,281976","0,703359","1,512005","0,82582","6,766942","11,036865","1,789777","1,736212","0,466133","3,692007","3,631","0,62315","2,291837","1,337901","11,198535","3,589824","0,929487","2,276977","0,380633"
1,"6,375","21,500622","5,079428","2,190415","2,139419","0,431379","2,14039","1,220723","0,882101","1,60791","0,917917","7,146724","9,398824","1,720055","1,732692","0,440165","3,040956","3,218436","0,483546","2,361213","1,345732","19,351563","4,899835","1,467735","2,381646","0,404563"
1,"6,5","43,58783","7,977405","2,877749","1,973579","0,429082","1,766316","1,129791","1,09346","1,539341","0,962406","7,574276","8,671942","1,750935","1,616903","0,401769","2,512097","3,011454","0,404815","2,205103","1,319471","35,387444","6,954074","2,149896","2,26458","0,423722"
1,"6,625","75,467285","11,513497","3,460241","1,642165","0,429392","1,339142","1,029597","1,256389","1,339007","0,94108","7,565425","9,056999","1,767121","1,424062","0,359172","2,124589","3,013872","0,362848","1,894638","1,25275","58,093956","9,472436","2,788426","1,975753","0,434424"
1,"6,75","110,025841","14,72443","3,802246","1,260139","0,435604","0,963436","0,922294","1,3126","1,080247","0,856477","7,095084","10,469324","1,681663","1,209979","0,320986","1,914808","3,176453","0,359289","1,545141","1,152216","82,274345","11,777615","3,217622","1,617106","0,433475"
1,"6,875","137,151978","16,523268","3,823498","0,943741","0,442659","0,731705","0,805122","1,246509","0,843701","0,732853","6,578436","12,668303","1,499169","1,02317","0,293992","2,015368","3,442639","0,428275","1,260538","1,040558","100,933998","13,120502","3,336219","1,294285","0,419257"
1,7,"147,349762","16,234194","3,516259","0,754738","0,443013","0,658884","0,679523","1,083649","0,682436","0,605026","6,550956","15,370995","1,280814","0,882383","0,280731","2,547342","3,70846","0,608171","1,099966","0,949062","107,383057","13,010662","3,126862","1,056548","0,391665"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","7,027846","7,608072","2,857709","0,982735","1,000112","1,287014","7,243181","0,997716","0,760872","0,483536","10,924243","47,944843","7,164056","2,003274","0,782754","1,616413","3,005937","6,706491","1,570238","0,549444","5,761404","10,426041","5,556913","1,425861","0,758736"
2,"0,25","5,885659","5,898602","2,428914","1,014827","1,023111","1,414844","7,370429","0,874293","0,959693","0,426939","12,473569","46,294334","5,652911","1,64998","0,73289","1,480501","2,810929","5,762757","1,666568","0,560914","5,903903","8,138367","4,958359","1,481079","0,786293"
2,"0,375","4,723901","4,790206","2,112853","1,034852","1,025559","1,521693","6,91429","0,759606","1,115593","0,37674","12,639229","42,223537","4,346511","1,338874","0,673259","1,452174","3,120973","4,655158","1,657483","0,55071","5,939237","6,130739","4,241843","1,494348","0,794054"
2,"0,5","3,736588","4,359015","2,00578","1,032918","1,024692","1,578149","6,038979","0,694864","1,188316","0,344321","11,392599","37,290806","3,49655","1,115805","0,632169","1,588398","3,970901","3,690562","1,544796","0,529714","5,794102","4,735973","3,565055","1,474419","0,786719"
2,"0,625","3,190852","4,336693","2,105963","1,027513","1,033877","1,605412","4,985466","0,707416","1,169003","0,334975","9,112011","32,579487","3,068491","0,998248","0,629817","1,819692","5,159112","3,141314","1,364138","0,513978","5,766541","3,924737","3,022395","1,439724","0,767556"
2,"0,75","3,013946","4,329836","2,324935","1,052292","1,056369","1,664354","3,969812","0,787749","1,079702","0,347211","6,458352","28,416183","2,902886","0,981027","0,66976","2,173529","6,300047","3,081442","1,16518","0,516152","5,854836","3,438898","2,626623","1,397402","0,740103"
2,"0,875","3,10836","4,095938","2,539363","1,133374","1,085737","1,759184","3,11665","0,89524","0,964753","0,374074","4,069975","24,539206","2,860764","1,053458","0,738888","2,506787","6,969666","3,317777","0,983175","0,540721","5,992016","3,053169","2,321522","1,34251","0,70991"
2,1,"3,268067","3,61757","2,662011","1,271016","1,110738","1,799502","2,456605","0,981","0,864306","0,405916","2,43698","20,63419","2,916073","1,202193","0,813891","2,641062","6,88187","3,521237","0,832113","0,582472","5,928871","2,659168","2,052008","1,273131","0,68525"
2,"1,125","3,914616","2,977899","2,643198","1,425794","1,123534","1,799489","1,991377","1,020458","0,797881","0,434209","1,715134","16,862225","3,140167","1,390841","0,869899","2,624787","6,089727","3,463067","0,70282","0,629731","6,022293","2,232666","1,791974","1,185431","0,677993"
2,"1,25","5,583641","2,312406","2,492408","1,529525","1,121178","1,731807","1,726848","1,019785","0,765809","0,452703","1,663528","13,757177","3,578916","1,569113","0,888929","2,494989","4,995018","3,160514","0,589054","0,671008","7,181101","1,831306","1,565965","1,077587","0,696672"
2,"1,375","8,160187","1,769069","2,279508","1,524276","1,102843","1,570587","1,659812","1,013482","0,755212","0,460237","2,037879","11,850685","4,203602","1,706225","0,867101","2,308268","4,071918","2,727423","0,510766","0,697527","9,34967","1,543968","1,405977","0,963397","0,739249"
2,"1,5","11,969804","1,429637","2,081318","1,391148","1,07017","1,455919","1,743806","1,027705","0,748479","0,460352","2,81214","11,165526","4,870542","1,789176","0,816428","2,150292","3,640273","2,273695","0,493766","0,70645","13,205572","1,418383","1,316705","0,860582","0,793121"
2,"1,625","15,176911","1,295365","1,939371","1,162056","1,027736","1,369504","1,878217","1,065521","0,734296","0,461641","3,94111","11,176295","5,316437","1,826375","0,75805","1,976798","3,736623","1,879604","0,549111","0,700306","16,90976","1,43298","1,27081","0,790523","0,840006"
2,"1,75","17,828537","1,278474","1,847703","0,904613","0,980656","1,40395","1,963122","1,114031","0,713298","0,473413","5,104754","11,133161","5,288669","1,829858","0,708128","1,803338","4,157412","1,59649","0,659306","0,686219","20,482431","1,501258","1,23836","0,775737","0,864161"
2,"1,875","18,011908","1,25483","1,755224","0,684482","0,930774","1,464505","1,9362","1,146665","0,692043","0,500388","6,044969","10,528096","4,695717","1,801841","0,671389","1,62384","4,602888","1,411248","0,786417","0,671469","21,268305","1,512839","1,170423","0,825689","0,856257"
2,2,"16,419689","1,164272","1,652193","0,543907","0,876398","1,544629","1,795693","1,137733","0,676847","0,537704","6,428161","9,25732","3,678473","1,729337","0,64324","1,488509","4,818698","1,279079","0,892784","0,659899","20,046282","1,409726","1,09664","0,932637","0,815329"
2,"2,125","12,882689","1,025843","1,568572","0,485601","0,822512","1,559146","1,587426","1,078256","0,668977","0,570957","6,191667","7,504715","2,513115","1,599799","0,61754","1,447191","4,665002","1,201625","0,960066","0,650562","16,152048","1,214711","1,082976","1,068167","0,751164"
2,"2,25","9,157501","0,885366","1,540017","0,479649","0,780666","1,515327","1,370951","0,97964","0,664179","0,583865","5,437066","5,607184","1,486827","1,414501","0,592559","1,524907","4,130773","1,202099","0,99317","0,639251","11,556397","1,001527","1,184656","1,185926","0,677162"
2,"2,375","6,032978","0,772668","1,557231","0,487314","0,758895","1,408207","1,195709","0,868303","0,657488","0,568669","4,476593","3,907943","0,822789","1,200209","0,572128","1,72819","3,355501","1,278701","1,010065","0,620771","7,219614","0,848831","1,38399","1,241737","0,604162"
2,"2,5","4,272415","0,702146","1,569671","0,484333","0,756157","1,288986","1,071451","0,770827","0,650431","0,529567","3,620451","2,639163","0,594902","1,004066","0,559184","1,996786","2,540816","1,38773","1,026641","0,591916","4,329838","0,806655","1,588695","1,214637","0,539651"
2,"2,625","3,656781","0,679225","1,520713","0,460603","0,761864","1,230815","0,975441","0,705396","0,64581","0,478798","3,0368","1,88003","0,71977","0,855831","0,554335","2,240464","1,865733","1,481041","1,041826","0,555507","3,085841","0,886638","1,684831","1,110724","0,487175"
2,"2,75","3,566733","0,705674","1,381982","0,420194","0,762533","1,273131","0,883942","0,674087","0,644136","0,434033","2,708083","1,545282","1,043797","0,762348","0,556067","2,362218","1,422845","1,550701","1,042018","0,520308","2,991503","1,054934","1,608361","0,957476","0,446038"
2,"2,875","3,418082","0,762746","1,179185","0,375888","0,747743","1,40214","0,783815","0,67164","0,638583","0,41295","2,478922","1,477517","1,453508","0,701642","0,560367","2,322742","1,208251","1,622454","1,015177","0,495464","3,397333","1,243846","1,394836","0,791361","0,414489"
2,3,"3,015709","0,823206","0,96985","0,338557","0,712736","1,556862","0,679825","0,688117","0,618289","0,424224","2,202828","1,513636","1,885914","0,638155","0,561065","2,154856","1,156536","1,709365","0,958715","0,484985","3,851254","1,407247","1,145346","0,640875","0,390599"
2,"3,125","2,647382","0,853802","0,803159","0,317725","0,65796","1,742019","0,576654","0,712523","0,576776","0,46171","1,940087","1,51629","2,266876","0,5576","0,550416","1,967317","1,16454","1,77656","0,881539","0,482799","4,475792","1,489813","0,96579","0,52018","0,370102"
2,"3,25","2,378646","0,865403","0,693056","0,318975","0,588546","1,943276","0,50108","0,752938","0,517016","0,506599","1,746168","1,452642","2,543915","0,474026","0,523488","1,862773","1,140667","1,762339","0,795687","0,476104","5,390158","1,530442","0,92154","0,434365","0,348421"
2,"3,375","2,372011","0,910152","0,653645","0,342656","0,514261","2,113329","0,478234","0,81503","0,44989","0,535885","1,647437","1,37729","2,731057","0,412394","0,4799","1,876008","1,040129","1,632444","0,709963","0,454988","6,341608","1,613305","1,016218","0,384518","0,323959"
2,"3,5","2,45305","1,048051","0,686853","0,386808","0,450357","2,220503","0,498688","0,886238","0,390193","0,535884","1,682314","1,371419","2,869624","0,390575","0,423664","1,978645","0,889552","1,400711","0,630712","0,419254","7,208327","1,825344","1,181258","0,369111","0,301245"
2,"3,625","2,614955","1,308585","0,791396","0,446387","0,409776","2,252804","0,532417","0,949417","0,354441","0,509388","1,895961","1,489486","2,999321","0,412925","0,362783","2,105131","0,766643","1,116827","0,570225","0,378203","7,606467","2,192526","1,335863","0,380943","0,287121"
2,"3,75","2,725806","1,658378","0,94831","0,515765","0,400992","2,247415","0,544797","0,987263","0,353116","0,471885","2,362733","1,721206","3,122756","0,469351","0,307856","2,157733","0,753791","0,842433","0,546904","0,344235","7,665917","2,644972","1,420979","0,407799","0,286429"
2,"3,875","2,740842","2,010103","1,1288","0,589644","0,42594","2,220562","0,519579","0,991681","0,384869","0,440159","2,969889","1,972054","3,20312","0,543303","0,268793","2,091102","0,898787","0,644918","0,580237","0,329005","7,15908","3,027","1,426598","0,439924","0,300659"
2,4,"2,704339","2,264712","1,28349","0,66047","0,478857","2,189748","0,458254","0,96817","0,435154","0,423494","3,699552","2,125456","3,190206","0,615051","0,250517","1,923173","1,175718","0,568924","0,674224","0,338666","6,579839","3,186516","1,362422","0,472416","0,328917"
2,"4,125","2,596904","2,343848","1,366369","0,722367","0,544465","2,110112","0,376492","0,94017","0,483152","0,419937","4,288052","2,119522","3,045357","0,666909","0,25103","1,698293","1,485355","0,620935","0,806175","0,370587","5,846206","3,036267","1,259959","0,508064","0,367838"
2,"4,25","2,534375","2,240989","1,364035","0,769921","0,600758","1,9721","0,29415","0,930698","0,513071","0,418392","4,679686","1,972762","2,769619","0,684682","0,264146","1,489766","1,707073","0,78127","0,93266","0,414007","5,332555","2,62309","1,165808","0,553666","0,411322"
2,"4,375","2,445562","2,015931","1,295877","0,798357","0,628935","1,748942","0,230938","0,948175","0,523356","0,405082","4,741063","1,797444","2,417501","0,66762","0,282858","1,297481","1,754712","1,020192","1,007498","0,453304","4,832948","2,120932","1,125337","0,614366","0,451897"
2,"4,5","2,425472","1,792967","1,186894","0,807045","0,622694","1,505013","0,201122","0,976704","0,520232","0,374705","4,562909","1,716356","2,044247","0,626718","0,301343","1,151783","1,678434","1,290433","1,002116","0,47406","4,431869","1,795663","1,152544","0,681685","0,483437"
2,"4,625","2,475753","1,720463","1,067484","0,81021","0,591007","1,38524","0,208452","0,983979","0,512217","0,335503","4,342499","1,808722","1,692567","0,583759","0,31662","1,11026","1,669396","1,526793","0,917229","0,469151","4,067401","1,912023","1,241601","0,738448","0,502531"
2,"4,75","2,687062","1,895706","0,957358","0,828818","0,551292","1,600322","0,245624","0,936634","0,502256","0,303232","4,238439","2,084852","1,387398","0,56645","0,326685","1,22884","1,942141","1,668274","0,778343","0,440363","3,779943","2,592443","1,363921","0,767579","0,508225"
2,"4,875","3,108902","2,296536","0,859262","0,875562","0,521783","2,251445","0,318791","0,824623","0,48688","0,290923","4,347976","2,467113","1,144909","0,593847","0,330939","1,540367","2,607226","1,683491","0,622351","0,396657","3,757051","3,720215","1,460119","0,763023","0,50046"
2,5,"3,656453","2,793678","0,76968","0,943845","0,514303","3,302829","0,453783","0,666681","0,460976","0,301874","4,5968","2,848599","0,965256","0,664826","0,331358","1,959846","3,582782","1,595253","0,481136","0,351126","3,965464","4,976965","1,492994","0,73596","0,479612"
2,"5,125","4,212755","3,202716","0,696578","1,005626","0,528859","4,438452","0,67466","0,50934","0,422699","0,329221","4,769201","3,12555","0,847138","0,754038","0,331548","2,345506","4,605987","1,468013","0,374236","0,315518","4,358744","5,993603","1,464288","0,709634","0,449692"
2,"5,25","4,618482","3,367021","0,651102","1,026142","0,558572","5,29288","0,970935","0,413989","0,382038","0,361563","4,707532","3,208553","0,794328","0,823458","0,336039","2,564855","5,331991","1,366211","0,308427","0,29617","4,816767","6,483169","1,391755","0,697037","0,419564"
2,"5,375","4,799315","3,205318","0,644909","0,986959","0,592654","5,578522","1,287477","0,432363","0,358404","0,389484","4,409885","3,093689","0,80494","0,846177","0,348073","2,541187","5,50642","1,33348","0,280514","0,292369","5,100231","6,316299","1,310468","0,696554","0,399637"
