sujeto ,tiempo,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1,"2,75","26,46694","8,406083","3,886163","0,815542","0,980202","1,819461","1,620008","0,637292","0,417387","0,3315","2,521814","4,145686","1,842355","0,672771","0,217067","4,583709","3,345758","2,541993","0,765079","1,045117","27,445034","9,857201","2,728637","1,808249","1,921538"
1,"2,875","30,469242","6,105386","3,420557","0,951826","0,994111","1,707366","1,102291","0,625456","0,439486","0,330745","2,614817","3,063967","1,350456","0,761685","0,226239","5,258615","3,527399","2,600475","0,930017","1,245328","30,277456","7,92474","2,439433","2,247742","2,057017"
1,3,"35,217815","4,390386","2,9791","1,125707","0,999986","1,568842","0,680117","0,576653","0,454252","0,330891","2,727171","2,338462","1,076097","0,813778","0,233885","5,719548","3,683453","2,527452","1,089106","1,448313","33,366108","6,261886","2,268336","2,747613","2,210135"
1,"3,125","38,126816","3,461276","2,711882","1,279018","1,004685","1,458023","0,406363","0,515821","0,463349","0,33375","2,850793","2,064249","0,977658","0,812002","0,238266","5,93575","3,764609","2,351926","1,185312","1,61893","34,833866","5,101419","2,259712","3,178915","2,324021"
1,"3,25","38,038689","3,191211","2,614798","1,35859","1,017387","1,442075","0,266006","0,463628","0,465434","0,337998","3,024207","2,162146","0,958334","0,761491","0,242981","6,050133","3,701901","2,146346","1,201141","1,73715","33,512215","4,390368","2,331015","3,400228","2,328061"
1,"3,375","34,907631","3,223611","2,573532","1,338307","1,043721","1,538355","0,210836","0,449722","0,455971","0,339651","3,307607","2,467599","0,982912","0,683745","0,254335","6,22782","3,439595","2,010486","1,159182","1,797395","29,518257","3,898279","2,377683","3,324688","2,177505"
1,"3,5","29,345436","3,322231","2,479611","1,238503","1,08146","1,699863","0,225808","0,490675","0,432243","0,334685","3,675167","2,905687","1,075657","0,60671","0,276438","6,608042","3,01662","2,022322","1,104377","1,801928","23,133347","3,527123","2,344869","2,972622","1,884094"
1,"3,625","23,698715","3,39937","2,301749","1,109407","1,122728","1,901997","0,312263","0,581269","0,398321","0,322127","4,186155","3,463272","1,263087","0,556441","0,307066","7,055124","2,541804","2,158763","1,075317","1,749896","16,938057","3,318097","2,259935","2,461599","1,516305"
1,"3,75","19,116096","3,379195","2,097967","0,989342","1,155335","2,132493","0,460179","0,70186","0,363651","0,303366","4,8676","4,119187","1,525307","0,541313","0,338816","7,546907","2,152549","2,329431","1,091317","1,637726","12,084766","3,223045","2,197051","1,937318","1,162951"
1,"3,875","16,123411","3,220094","1,943272","0,897782","1,165589","2,428337","0,654944","0,83115","0,339788","0,282016","5,701685","4,841283","1,825426","0,552993","0,36395","7,940988","2,049841","2,456918","1,152073","1,471301","9,426883","3,163969","2,225608","1,499263","0,889896"
1,4,"14,387261","2,918567","1,878632","0,831064","1,141652","2,786677","0,876107","0,942319","0,33522","0,261958","6,572692","5,523652","2,099374","0,569848","0,376006","8,226103","2,372616","2,49736","1,23902","1,269274","8,328794","3,058805","2,37648","1,175474","0,715722"
1,"4,125","13,607348","2,554784","1,897622","0,780534","1,078744","3,182416","1,093949","1,008902","0,351604","0,246696","7,33822","6,04048","2,260461","0,571431","0,374067","8,371232","3,107107","2,435179","1,332864","1,06748","8,211364","2,946511","2,616831","0,948886","0,621026"
1,"4,25","13,513153","2,176304","1,969188","0,748651","0,982448","3,540782","1,258799","1,013955","0,382256","0,238551","7,864358","6,269897","2,243711","0,55528","0,365433","8,4248","4,059147","2,272808","1,42118","0,910041","8,48822","2,859906","2,853802","0,791324","0,573395"
1,"4,375","14,146531","1,889772","2,042006","0,746064","0,86616","3,746475","1,338005","0,962375","0,414847","0,237318","8,104614","6,187047","2,04172","0,540407","0,360311","8,386463","4,944559","2,027488","1,496447","0,824994","8,917285","2,901724","2,994375","0,697578","0,546184"
1,"4,5","14,965626","1,709435","2,071709","0,801734","0,747314","3,758418","1,322013","0,873496","0,441413","0,243014","8,075633","5,803329","1,699609","0,551046","0,366542","8,343641","5,45916","1,717916","1,556918","0,812839","9,287707","3,050933","2,968801","0,685122","0,522317"
1,"4,625","15,305918","1,641241","2,043046","0,924471","0,643677","3,561391","1,241769","0,769168","0,457143","0,258458","7,865316","5,179052","1,306209","0,599243","0,385469","8,266765","5,454621","1,386792","1,591908","0,856778","9,424662","3,263916","2,783085","0,749142","0,497493"
1,"4,75","14,663049","1,683614","1,970934","1,086477","0,570148","3,269421","1,150549","0,675833","0,463707","0,288114","7,58215","4,390423","0,96006","0,679313","0,411303","8,190711","4,978191","1,097841","1,580289","0,93156","9,30127","3,488183","2,52997","0,860195","0,477825"
1,"4,875","12,964043","1,829269","1,88414","1,233754","0,534846","2,945345","1,111501","0,617582","0,46896","0,334773","7,162547","3,595412","0,710709","0,773089","0,434964","7,960917","4,238774","0,905527","1,505883","1,015067","8,859012","3,707804","2,326978","0,981036","0,469724"
1,5,"10,507779","2,047415","1,802305","1,305928","0,539076","2,636226","1,139825","0,605444","0,479183","0,394112","6,581372","2,981002","0,598441","0,861021","0,446928","7,553902","3,452887","0,828892","1,36807","1,091855","8,142406","3,875252","2,236135","1,059172","0,474731"
1,"5,125","7,856617","2,285984","1,715742","1,285451","0,577872","2,349294","1,200479","0,624613","0,505507","0,454729","5,814874","2,794414","0,642461","0,934856","0,440048","6,880393","2,739675","0,834478","1,199005","1,15135","7,247423","3,945929","2,223241","1,066413","0,48928"
1,"5,25","5,896772","2,534031","1,637108","1,229672","0,648195","2,125201","1,25554","0,645362","0,561259","0,510444","4,943039","3,296967","0,798907","1,006948","0,413553","6,213415","2,177634","0,877457","1,049413","1,195588","6,53931","3,948599","2,247851","1,033806","0,510414"
1,"5,375","4,96521","2,902462","1,616512","1,273809","0,768528","1,949368","1,283336","0,6403","0,654827","0,576806","4,079435","4,54425","0,999874","1,115418","0,373596","5,749043","1,828045","0,932229","0,968887","1,238494","6,224073","4,067227","2,266194","1,062836","0,542101"
1,"5,5","5,137816","3,560661","1,729228","1,546736","0,978665","1,8196","1,283281","0,617792","0,793891","0,687325","3,341032","6,248175","1,197634","1,296658","0,331263","5,834279","1,740335","1,00817","1,005608","1,298179","6,412681","4,583747","2,285125","1,277856","0,599135"
1,"5,625","6,228221","4,582703","2,041087","2,082231","1,31172","1,736799","1,27594","0,625205","0,987946","0,871044","2,997608","7,853869","1,384728","1,547863","0,298066","6,348461","2,063821","1,132625","1,203192","1,38925","7,123523","5,66872","2,363163","1,744138","0,700666"
1,"5,75","7,912188","5,833172","2,5339","2,786664","1,758765","1,67735","1,285141","0,70095","1,235995","1,132709","3,265447","8,819926","1,59674","1,814664","0,283603","7,349327","3,011602","1,343849","1,587454","1,50905","8,094523","7,167462","2,512257","2,402392","0,857637"
1,"5,875","9,69624","7,013788","3,079496","3,455887","2,251873","1,581323","1,313985","0,838449","1,515566","1,446153","4,326924","8,917673","1,858158","2,013907","0,303933","8,694836","4,631145","1,672306","2,14478","1,634481","9,118123","8,616497","2,669277","3,078856","1,068144"
1,6,"11,39234","7,719197","3,496144","3,862309","2,681111","1,426327","1,352103","0,994541","1,780444","1,764754","6,188133","8,39332","2,187527","2,07605","0,379929","11,760413","6,60815","2,132886","2,798951","1,731891","10,592125","9,432465","2,751469","3,555799","1,313415"
1,"6,125","13,776884","7,697037","3,653084","3,864412","2,936111","1,313845","1,400761","1,131811","1,976548","2,044369","8,571673","7,809168","2,606078","1,979936","0,521515","18,757236","8,448083","2,730579","3,42477","1,783595","14,165476","9,245807","2,698255","3,67998","1,556656"
1,"6,25","17,288338","6,906764","3,534794","3,469807","2,951064","1,370797","1,475222","1,244108","2,063985","2,264492","10,909825","7,70507","3,055216","1,767613","0,714426","30,879431","9,655164","3,436651","3,881945","1,821326","20,836611","8,062711","2,525697","3,443882","1,752523"
1,"6,375","22,018808","5,556598","3,217489","2,836728","2,735395","1,811765","1,648735","1,405303","2,052517","2,430382","12,576948","8,258329","3,405525","1,522712","0,918361","46,67981","9,943769","4,156827","4,059271","1,911853","30,579645","6,276702","2,311725","2,987997","1,866554"
1,"6,5","27,00938","4,025536","2,835783","2,166503","2,368992","2,898607","2,040431","1,73702","2,016196","2,551346","13,152819","9,157784","3,513418","1,319504","1,083329","62,482372","9,385933","4,739263","3,923699","2,099285","41,27457","4,442493","2,172368","2,499823","1,883385"
1,"6,625","31,18082","2,775801","2,549899","1,624811","1,962438","4,773418","2,773925","2,284979","2,055255","2,620519","12,589777","9,810058","3,302231","1,191851","1,170575","73,562172","8,428547","5,080541","3,537341","2,363238","50,020222","3,186711","2,21224","2,131938","1,807558"
1,"6,75","33,38652","2,076816","2,467489","1,277382","1,608433","7,342117","3,899151","2,991827","2,244128","2,609845","11,155287","9,728146","2,806874","1,130213","1,166254","76,212936","7,630045","5,146665","3,023599","2,619438","53,893475","2,831666","2,460554","1,932703","1,659749"
1,"6,875","33,07444","1,992176","2,598126","1,092561","1,350592","10,48476","5,308264","3,75235","2,578057","2,488617","9,250833","8,847761","2,194067","1,091696","1,083107","69,437347","7,327329","4,976925","2,52099","2,762584","51,589405","3,361497","2,842798","1,846173","1,46938"
1,7,"31,062447","2,334574","2,849778","0,997191","1,180594","13,637423","6,712871","4,408424","2,959423","2,24703","7,441373","7,510173","1,611097","1,033711","0,95263","55,386345","7,462863","4,65217","2,121255","2,718637","44,34103","4,372909","3,222677","1,777313","1,267687"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","7,384407","16,106173","1,802613","1,078741","0,28506","3,26287","1,80149","1,101675","1,456066","0,337337","3,274501","30,16654","1,385802","2,46917","0,477952","1,965846","10,178225","2,723017","1,153882","0,404215","6,173006","16,25815","3,169182","1,925342","0,409285"
2,"0,25","6,908872","17,872589","1,592218","1,291201","0,311627","3,273154","2,17134","1,211861","1,645018","0,370645","3,323592","34,475433","1,49768","2,656533","0,528048","1,912825","10,58483","3,584932","1,156376","0,461094","6,786486","18,775177","3,037747","2,083188","0,42913"
2,"0,375","6,263165","18,149567","1,457339","1,467924","0,357513","3,058157","2,552113","1,339235","1,718488","0,420276","3,535295","41,435127","1,615741","2,769489","0,61106","1,942396","10,481806","4,582485","1,197303","0,556313","7,401936","20,120125","2,978534","2,149934","0,4617"
2,"0,5","5,760601","17,168079","1,468762","1,56559","0,41561","2,758155","2,955371","1,44679","1,646483","0,471932","3,815308","52,17038","1,787923","2,786502","0,700874","2,04729","9,943788","5,494066","1,278455","0,670732","8,046818","20,144838","2,992401","2,107282","0,50571"
2,"0,625","5,474967","15,577779","1,649943","1,558281","0,474314","2,486109","3,358765","1,491214","1,441953","0,509311","4,017248","65,788567","2,087265","2,694657","0,770487","2,229672","9,111141","6,052155","1,366472","0,77522","8,646035","19,129831","3,02148","1,957563","0,555746"
2,"0,75","5,429765","14,115574","1,992124","1,44511","0,519202","2,324732","3,677384","1,439415","1,1581","0,521192","4,053265","79,206268","2,554613","2,506878","0,800077","2,489316","8,143101","6,099031","1,408987","0,841162","9,045246","17,729149","3,030315","1,720788","0,600738"
2,"0,875","5,527925","13,270232","2,440088","1,258666","0,538327","2,279371","3,782737","1,2799","0,86624","0,504467","3,938623","88,257195","3,158073","2,256642","0,782091","2,848248","7,187316","5,685633","1,375186","0,851238","9,330797","16,647614","3,010276","1,449797","0,628331"
2,1,"5,792017","13,05845","2,859391","1,047409","0,525884","2,269087","3,595572","1,046639","0,626117","0,463595","3,755606","89,602646","3,731087","1,990007","0,721604","3,341395","6,399706","5,025492","1,27629","0,804745","9,572093","16,266764","2,939147","1,216816","0,626798"
2,"1,125","6,034299","13,06803","3,121793","0,8583","0,486871","2,179826","3,143748","0,805985","0,467355","0,409082","3,629102","82,300919","4,04815","1,743637","0,633715","3,884528","5,85424","4,374281","1,158181","0,714858","9,988337","16,428478","2,838636","1,092374","0,593402"
