sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"2,75","11,504702","7,216757","3,528088","0,55633","0,444088","2,596166","2,209013","1,885614","0,491298","0,208699","3,824443","3,256197","5,095008","0,53415","0,217539","5,193205","3,293854","2,480682","0,780021","0,419237","12,239668","8,792364","5,928815","0,713908","0,358727"
1,"2,875","8,572803","5,696501","3,323642","0,530612","0,431127","2,018296","1,829318","1,750223","0,43587","0,228351","3,064507","3,503996","4,781564","0,391289","0,223474","5,014706","2,731492","2,495226","0,735361","0,411673","9,327188","6,82829","5,51139","0,652205","0,336477"
1,3,"6,279181","4,154119","3,111598","0,56715","0,42472","1,537715","1,42348","1,478372","0,3938","0,255383","2,399318","3,551223","3,995548","0,323787","0,236669","5,075084","2,291809","2,279627","0,724965","0,410956","7,404441","4,791905","4,735942","0,638128","0,325421"
1,"3,125","5,242365","2,98803","3,079074","0,627661","0,434224","1,363608","1,080797","1,149994","0,371467","0,2828","1,991561","3,369079","2,934871","0,324005","0,263118","5,554623","1,998383","1,90704","0,746207","0,423171","7,009959","3,196566","3,936533","0,662323","0,333886"
1,"3,25","5,419167","2,364148","3,257359","0,670152","0,458625","1,529748","0,84665","0,846703","0,372158","0,304482","1,850538","3,060927","1,955741","0,362419","0,303455","6,332915","1,822331","1,528193","0,793716","0,447589","7,66094","2,226731","3,331805","0,701334","0,358132"
1,"3,375","6,255306","2,204672","3,521159","0,673528","0,487233","1,91535","0,731461","0,614384","0,396475","0,315672","1,915479","2,751944","1,403138","0,406526","0,35061","7,015134","1,677207","1,268897","0,856455","0,477077","8,477283","1,814745","2,955757","0,733528","0,383708"
1,"3,5","7,071611","2,333862","3,702383","0,645329","0,505935","2,319206","0,71655","0,459039","0,446175","0,313877","2,072699","2,512334","1,3872","0,440588","0,390965","7,236485","1,484313","1,186831","0,919332","0,50112","8,536737","1,809801","2,749394","0,752039","0,395312"
1,"3,625","7,602454","2,616854","3,733471","0,619493","0,504602","2,598935","0,778845","0,37152","0,524943","0,299388","2,220809","2,346153","1,759034","0,474181","0,411036","6,965158","1,281131","1,273906","0,970964","0,510468","7,802863","2,154969","2,666167","0,766373","0,38465"
1,"3,75","7,679824","2,959718","3,683257","0,629569","0,48232","2,671738","0,896567","0,345067","0,632647","0,275619","2,350483","2,210537","2,213042","0,528391","0,402608","6,426113","1,154893","1,471695","1,00175","0,501565","6,450392","2,799851","2,711721","0,785429","0,35381"
1,"3,875","7,361465","3,267218","3,679428","0,692184","0,448852","2,557356","1,048614","0,370321","0,759141","0,248528","2,527918","2,085061","2,475503","0,617608","0,366977","5,999195","1,203549","1,681346","1,007349","0,477081","5,043264","3,624104","2,877965","0,809459","0,314259"
1,4,"7,038545","3,454587","3,806204","0,791408","0,417913","2,324939","1,203802","0,433481","0,878844","0,224961","2,777119","1,94603","2,439229","0,734104","0,315157","5,920817","1,434045","1,816701","0,992428","0,442807","4,05072","4,400026","3,104395","0,824416","0,280697"
1,"4,125","6,49929","3,466002","4,038623","0,89233","0,398351","2,022429","1,329401","0,513397","0,958286","0,210742","3,047638","1,779136","2,129491","0,846939","0,263454","6,10184","1,752078","1,843265","0,973437","0,40465","3,474681","4,889877","3,292624","0,814912","0,264365"
1,"4,25","6,052289","3,281637","4,217341","0,952809","0,390381","1,743188","1,39465","0,581119","0,97527","0,209516","3,273511","1,612856","1,675972","0,917891","0,227258","6,293154","2,050387","1,759092","0,962604","0,368504","3,433901","4,937737","3,309813","0,768266","0,268695"
1,"4,375","5,633123","2,919292","4,148273","0,945348","0,387783","1,549863","1,380043","0,609312","0,933976","0,220912","3,372963","1,486863","1,273706","0,919972","0,214939","6,178463","2,251456","1,58993","0,959445","0,338889","3,577912","4,550846","3,04817","0,685645","0,288531"
