sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"2,75","23,033905","3,963783","2,01733","0,876841","0,70579","4,353663","2,449041","1,570955","0,814969","0,326854","5,574288","3,161628","2,298293","1,015278","0,307832","9,857545","4,020324","3,6099","2,132476","2,076611","14,997505","3,691168","1,360905","1,35637","0,393336"
1,"2,875","23,473627","3,702423","2,024256","0,929655","0,711046","4,227317","2,276681","1,090416","0,743373","0,330537","6,254019","3,225893","2,27736","0,898864","0,288542","10,873625","4,331865","4,17481","2,047385","1,860469","15,269101","3,685827","1,433205","1,303035","0,37959"
1,3,"21,394695","3,528424","1,976496","0,953113","0,719647","3,733818","2,00072","0,731374","0,670567","0,333463","6,423627","3,520452","2,46403","0,80442","0,270882","10,943609","4,384908","4,596238","2,069322","1,601557","14,263477","3,577544","1,413717","1,243072","0,391642"
1,"3,125","17,369688","3,537357","1,870057","0,966512","0,735792","3,033619","1,699282","0,542806","0,606857","0,333156","5,996099","4,242942","2,929725","0,742255","0,260036","10,093369","4,102976","4,662893","2,164284","1,34447","12,264041","3,424536","1,307491","1,17943","0,417634"
1,"3,25","12,756284","3,707047","1,710919","1,009808","0,758983","2,332592","1,447586","0,501308","0,553384","0,329019","5,144789","5,469027","3,568661","0,700901","0,26054","8,736284","3,560194","4,316059","2,242821","1,13277","9,983053","3,266347","1,152555","1,120589","0,442822"
1,"3,375","8,851626","3,920277","1,530639","1,116578","0,783432","1,813326","1,299287","0,548374","0,505956","0,324339","4,153607","7,045645","4,129545","0,661449","0,276566","7,30777","2,977782","3,642092","2,210907","0,996984","8,171213","3,103914","1,008967","1,080151","0,458418"
1,"3,5","6,4157","4,065341","1,370569","1,290384","0,802697","1,554955","1,267004","0,625981","0,460668","0,32477","3,288476","8,597081","4,36067","0,619924","0,311062","6,208397","2,567657","2,842349","2,030449","0,947543","7,262373","2,953567","0,929673","1,066576","0,466656"
1,"3,625","5,616712","4,097486","1,267182","1,501448","0,808882","1,531951","1,337157","0,699934","0,418679","0,33192","2,758917","9,645844","4,135128","0,588938","0,360773","5,591822","2,451554","2,121758","1,74489","0,964878","7,321105","2,858822","0,938053","1,076213","0,474739"
1,"3,75","5,977586","4,044549","1,226378","1,701662","0,798214","1,67075","1,482978","0,752184","0,383362","0,341404","2,638668","9,819869","3,506495","0,583063","0,41552","5,385849","2,586823","1,586213","1,456394","1,012261","8,024476","2,877725","1,008347","1,10612","0,490863"
1,"3,875","7,13578","3,964468","1,228666","1,835831","0,774135","1,874976","1,662643","0,765627","0,35506","0,34684","2,866448","9,083937","2,66091","0,609784","0,463167","5,350169","2,844715","1,241102","1,27663","1,06547","8,872364","3,093367","1,098011","1,143216","0,514023"
